
Year,Month,tmax,tmin,ppt
1994,9,28.37235,6.6096,7.53546
1994,10,18.74345,0.53399,8.83928
1994,11,5.47545,-5.68471,51.65755
1994,12,4.61857,-6.2925,26.71905
1995,1,5.90809,-2.44401,48.42148
1995,2,12.70257,-3.13341,15.18659
1995,3,9.90328,-2.31636,44.68025
1995,4,13.44362,-1.07833,32.64501
1995,5,17.45592,3.53249,53.36076
1995,6,22.45736,5.93074,51.74588
1995,7,30.18658,10.58532,7.56415
1995,8,31.49678,9.76039,0.81298
1995,9,28.25904,7.1929,1.10612
1995,10,21.11883,0.46949,1.91753
1995,11,16.386,-1.50328,7.77648
1995,12,7.98407,-4.01293,64.67951
1996,1,6.7906,-4.50737,53.93442
1996,2,7.50212,-4.21023,39.51506
1996,3,12.19533,-3.2014,21.36484
1996,4,15.68077,-0.50217,19.74297
1996,5,19.24169,3.11082,35.99375
1996,6,26.0347,7.07636,21.37135
1996,7,33.13086,12.57605,6.13602
1996,8,32.4248,10.80392,7.59015
1996,9,25.72754,5.21394,9.40169
1996,10,18.99884,1.11601,17.24036
1996,11,12.25173,-2.05299,33.14332
1996,12,7.09868,-3.53839,76.36814
1997,1,5.37104,-5.80089,65.12214
1997,2,7.72131,-5.5371,8.45334
1997,3,13.34548,-2.91411,7.0727
1997,4,13.81588,-0.86934,21.60573
1997,5,23.03629,5.0972,8.11046
1997,6,23.49817,7.35201,44.51372
1997,7,29.95793,10.87245,11.13247
1997,8,31.13079,10.87835,3.13863
1997,9,26.69596,7.79128,11.09627
1997,10,18.39088,0.89628,8.43628
1997,11,11.90644,-1.99061,22.85477
1997,12,5.31339,-7.30573,16.05395
1998,1,7.16929,-3.97172,43.08494
1998,2,5.54473,-3.79028,55.9911
1998,3,9.89342,-2.80688,37.16372
1998,4,12.63583,-1.09923,28.59414
1998,5,15.0795,1.89534,71.1543
1998,6,22.20426,5.43257,37.78776
1998,7,31.7152,12.49715,13.04345
1998,8,32.80036,11.58174,0.22331
1998,9,26.22942,9.30507,34.525
1998,10,16.91035,0.90926,17.29193
1998,11,9.95362,-1.38298,48.91215
1998,12,4.36605,-8.29207,16.3503
1999,1,6.30328,-5.79521,29.9283
1999,2,6.29523,-4.896,29.08351
1999,3,9.82682,-3.90062,12.41111
1999,4,12.60249,-1.37701,19.46918
1999,5,19.28196,2.5342,11.02057
1999,6,24.65171,6.80608,25.49744
1999,7,30.69752,10.58342,1.4701
1999,8,29.93171,10.92148,15.84935
1999,9,27.71697,6.32086,1.07839
1999,10,21.84149,0.8425,9.67261
1999,11,14.03689,-1.70654,8.71458
1999,12,7.14316,-7.48423,6.34462
2000,1,6.82031,-5.19548,53.12878
2000,2,8.14789,-3.16914,46.38767
2000,3,10.87504,-3.7591,19.18338
2000,4,17.38621,0.5334,19.25343
2000,5,20.45303,4.28474,28.1385
2000,6,27.19261,8.2914,4.54996
2000,7,30.4072,10.79578,4.37496
2000,8,31.55771,11.15222,7.55326
2000,9,26.0772,6.55835,16.31593
2000,10,18.11039,1.53006,33.88607
2000,11,7.9315,-5.73208,12.33064
2000,12,6.63014,-5.89844,12.29375
